Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-12-28,44.306,44.76,43.44,43.948,18428500
2016-12-29,43.712,43.84,42.825,42.93,19735930
2016-12-30,43.26,43.5,42.336,42.738,23213100
2017-01-03,42.972,44.066,42.192,43.398,27645515
2017-01-04,42.95,45.6,42.862,45.398,55627045
2017-01-05,45.284,45.496,44.39,45.35,29277385
2017-01-06,45.386,46.062,45.09,45.802,27321950
2017-01-09,45.794,46.384,45.6,46.256,19564525
2017-01-10,46.4,46.4,45.378,45.974,17982445
2017-01-11,45.814,45.996,45.336,45.946,17098545
2017-01-12,45.812,46.14,45.116,45.918,18579970
2017-01-13,46,47.57,45.918,47.55,29995180
2017-01-17,47.34,47.992,46.874,47.116,22997155
2017-01-18,47.33,47.942,47.116,47.672,18586835
2017-01-19,49.45,49.736,48.15,48.752,37941540
2017-01-20,49.092,49.2,48.602,48.946,18896500
2017-01-23,49.17,50.178,49.1,49.784,29669210
2017-01-24,50,50.96,49.93,50.922,23902995
2017-01-25,51.462,51.692,50.36,50.894,25577495
2017-01-26,50.858,51.148,50.15,50.502,15346925
2017-01-27,50.276,50.6,49.704,50.592,15209075
2017-01-30,50.506,51.058,49.42,50.124,18311905
2017-01-31,49.848,51.178,49.54,50.386,20264285
2017-02-01,50.61,50.64,49.81,49.848,19612075
2017-02-02,49.668,50.484,49.542,50.308,12089945
2017-02-03,50.382,50.436,49.936,50.266,10933615
2017-02-06,50.2,51.564,50.126,51.554,17607725
2017-02-07,51.638,52,51.284,51.496,20296715
2017-02-08,51.47,52.672,51.24,52.416,19403300
2017-02-09,53.25,54.236,53.23,53.84,38459180
2017-02-10,53.958,54.19,53.222,53.846,17955635
2017-02-13,54.148,56.158,54.102,56.12,34464705
2017-02-14,55.806,57.478,55.722,56.196,35964405
2017-02-15,56,56.448,55.288,55.952,24549460
2017-02-16,55.52,56,53.7,53.79,35113000
2017-02-17,53.16,54.578,52.83,54.446,30614880
2017-02-21,55.09,56.28,54.802,55.478,28032950
2017-02-22,56.062,56.69,54.52,54.702,37154570
2017-02-23,52.8,52.932,51.112,51.198,74129040
2017-02-24,50.532,51.65,50.04,51.4,40598025
2017-02-27,49.634,49.672,48.402,49.246,56065165
2017-02-28,48.838,50.2,48.78,49.998,29734210
2017-03-01,50.836,50.97,49.822,50.004,23897470
2017-03-02,49.942,50.656,49.654,50.096,16608555
2017-03-03,50.148,50.38,49.8,50.314,14539200
2017-03-06,49.582,50.34,49.502,50.242,16436145
2017-03-07,50.384,50.778,49.664,49.718,16709200
2017-03-08,49.4,50.014,49.064,49.366,18218355
